,count,mean,std,min,5%,20%,50%,80%,95%,max
Acc_1_left,828795.0,-1.5262577013784127,3.6828484769437084,-84.43794,-6.53346,-2.85144,-1.5369,-0.037278,2.9626200000000003,57.03534000000001
Acc_2_left,828795.0,6.589302564883234,5.22459011711494,-68.52611999999999,2.358324,4.6761,5.4543599999999985,6.90557610096357,17.14134,56.73516
Acc_3_left,828795.0,8.140943869887648,4.629581740703919,-77.17854,2.650662,7.62564,8.426789999999999,9.07752,12.639199999999999,54.55537
Gyro_1_left,828795.0,-0.8234347456245971,118.96909663049513,-1253.9,-237.5,-15.1,0.5,18.0,190.4,1166.8
Gyro_2_left,828795.0,1.5960765931262384,55.588803882120786,-1166.6,-76.0,-6.6,0.0,11.6,86.5,1013.6
Gyro_3_left,828795.0,3.4756979711510705,76.16622671860883,-802.2,-108.5,-6.0,0.0,11.7,125.9,791.2
Acc_1_right,828795.0,1.39392318680385,3.84970726727108,-83.33923,-2.799774,-0.484614,1.1575799999999998,3.1719,6.71658,57.4297
Acc_2_right,828795.0,6.213520551129755,5.502078722902096,-75.41928,1.899216,3.42042,5.299362,6.88008,17.07921,57.16876
Acc_3_right,828795.0,8.04574806062525,4.791032954402617,-65.7597,1.924722,7.37058,8.42352,9.437221,12.1971,55.49125
Gyro_1_right,828795.0,-0.19772114937943958,116.84110794795919,-1005.2,-229.40000000000003,-14.7,0.2,18.8,189.7,799.1
Gyro_2_right,828795.0,3.3241029446355155,59.07343331820524,-642.6,-79.1,-9.1,0.4,10.0,101.3,860.7
Gyro_3_right,828795.0,1.207278760127535,73.23564240411575,-883.7,-98.70000000000002,-8.9,-0.6,8.1,120.4,3246.7
Acc_1_lowerleft,828795.0,-1.0059369270362652,3.1596270241546796,-46.98206,-6.545232,-2.91684,-0.59841,0.96792,3.25038,54.23753000000001
Acc_2_lowerleft,828795.0,8.860870410277096,3.0287269909873937,-56.452630000000006,3.5041320000000002,7.922556,9.091908,9.821773,12.92566,55.61289
Acc_3_lowerleft,828795.0,-3.078971137421528,2.66135917525767,-30.95251,-7.481760999999999,-4.75785,-2.94571336734786,-1.306692,0.83385,44.17116
Gyro_1_lowerleft,828795.0,-0.8259463437882749,70.23237442899837,-409.3,-155.6,-13.0,0.4,33.2,100.5,377.3
Gyro_2_lowerleft,828795.0,5.156360137307928,68.64717651599324,-607.4,-90.7,-17.4,0.8,28.9,112.5,650.7
Gyro_3_lowerleft,828795.0,-1.836320561779345,54.500175180278006,-319.1,-81.2,-29.6,-2.1,7.7,114.8,410.8
Acc_1_lowerright,828795.0,2.1279153792552497,3.0172317283045023,-43.07179,-2.09934,0.300186,1.98816,3.794508,7.176996000000001,51.37889000000001
Acc_2_lowerright,828795.0,8.847288292598888,3.0459627322325575,-58.78806,3.3726779999999996,7.820532000000001,9.154693,9.786456,12.93743,57.19819
Acc_3_lowerright,828795.0,-2.8135696744405707,2.4268885660091324,-36.23422,-7.210350999999999,-4.281084,-2.55714,-1.2753,0.474804,45.38106
Gyro_1_lowerright,828795.0,-0.048346092821497405,63.73348042890919,-443.0,-131.1,-11.8,0.8,32.1,91.2,333.7
Gyro_2_lowerright,828795.0,2.295783517033767,71.1769115940263,-718.9,-100.1,-22.1,0.5,25.6,115.6,687.1
Gyro_3_lowerright,828795.0,-1.929408840545614,60.16936092566399,-412.0,-135.7,-12.5,0.4,29.2,84.5,272.3
Label,828795.0,0.275060781013399,0.4465451694469406,0.0,0.0,0.0,0.0,1.0,1.0,1.0
