,test_patient,train_shape,test_shape,train_lable_count,test_label_count,sensor_pos,sensor_type,features,model_name,duration,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
0,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,LSTM,0:05:23.779652,0.2811634242534637,0.29483696818351746,0.2811634242534637,0.2811634242534637,"[[203   0]
 [519   0]]","{'0': {'precision': 0.28116343490304707, 'recall': 1.0, 'f1-score': 0.4389189189189189, 'support': 203}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 519}, 'accuracy': 0.28116343490304707, 'macro avg': {'precision': 0.14058171745152354, 'recall': 0.5, 'f1-score': 0.21945945945945944, 'support': 722}, 'weighted avg': {'precision': 0.07905287712648, 'recall': 0.28116343490304707, 'f1-score': 0.12340795088717525, 'support': 722}}",1.1975892782211304
2,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,SupportVectorsMachine,0:01:02.189910,0.2813793103448276,0.29014002347743845,0.4068165435443879,0.2813793103448276,"[[ 91 115]
 [406 113]]","{'0.0': {'precision': 0.18309859154929578, 'recall': 0.441747572815534, 'f1-score': 0.25889046941678523, 'support': 206}, '1.0': {'precision': 0.4956140350877193, 'recall': 0.21772639691714837, 'f1-score': 0.30254350736278446, 'support': 519}, 'accuracy': 0.2813793103448276, 'macro avg': {'precision': 0.3393563133185075, 'recall': 0.3297369848663412, 'f1-score': 0.28071698838978487, 'support': 725}, 'weighted avg': {'precision': 0.4068165435443879, 'recall': 0.2813793103448276, 'f1-score': 0.29014002347743845, 'support': 725}}",
3,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,RandomForest,0:00:32.333752,0.2882758620689655,0.13437574316290132,0.7969318941637215,0.2882758620689655,"[[206   0]
 [516   3]]","{'0.0': {'precision': 0.2853185595567867, 'recall': 1.0, 'f1-score': 0.44396551724137934, 'support': 206}, '1.0': {'precision': 1.0, 'recall': 0.005780346820809248, 'f1-score': 0.011494252873563216, 'support': 519}, 'accuracy': 0.2882758620689655, 'macro avg': {'precision': 0.6426592797783933, 'recall': 0.5028901734104047, 'f1-score': 0.22772988505747127, 'support': 725}, 'weighted avg': {'precision': 0.7969318941637215, 'recall': 0.2882758620689655, 'f1-score': 0.13437574316290132, 'support': 725}}",
4,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,DecisionTree,0:00:00.508817,0.3048275862068965,0.16801700028254846,0.7983020883924234,0.3048275862068965,"[[206   0]
 [504  15]]","{'0.0': {'precision': 0.29014084507042254, 'recall': 1.0, 'f1-score': 0.4497816593886463, 'support': 206}, '1.0': {'precision': 1.0, 'recall': 0.028901734104046242, 'f1-score': 0.056179775280898875, 'support': 519}, 'accuracy': 0.30482758620689654, 'macro avg': {'precision': 0.6450704225352113, 'recall': 0.5144508670520231, 'f1-score': 0.25298071733477256, 'support': 725}, 'weighted avg': {'precision': 0.7983020883924234, 'recall': 0.30482758620689654, 'f1-score': 0.16801700028254846, 'support': 725}}",
5,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,GaussianNaiveBayes,0:00:00.026375,0.31862068965517243,0.2688552846847289,0.5123322981923926,0.31862068965517243,"[[162  44]
 [450  69]]","{'0.0': {'precision': 0.2647058823529412, 'recall': 0.7864077669902912, 'f1-score': 0.3960880195599022, 'support': 206}, '1.0': {'precision': 0.6106194690265486, 'recall': 0.1329479768786127, 'f1-score': 0.21835443037974683, 'support': 519}, 'accuracy': 0.31862068965517243, 'macro avg': {'precision': 0.43766267568974493, 'recall': 0.459677871934452, 'f1-score': 0.3072212249698245, 'support': 725}, 'weighted avg': {'precision': 0.5123322981923926, 'recall': 0.31862068965517243, 'f1-score': 0.2688552846847289, 'support': 725}}",
6,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,K-NearestNeighbors,0:00:00.317490,0.31724137931034485,0.2796505324966235,0.4958407121749566,0.31724137931034485,"[[152  54]
 [441  78]]","{'0.0': {'precision': 0.2563237774030354, 'recall': 0.7378640776699029, 'f1-score': 0.38047559449311635, 'support': 206}, '1.0': {'precision': 0.5909090909090909, 'recall': 0.15028901734104047, 'f1-score': 0.23963133640552994, 'support': 519}, 'accuracy': 0.31724137931034485, 'macro avg': {'precision': 0.4236164341560632, 'recall': 0.4440765475054717, 'f1-score': 0.31005346544932316, 'support': 725}, 'weighted avg': {'precision': 0.49584071217495657, 'recall': 0.31724137931034485, 'f1-score': 0.27965053249662347, 'support': 725}}",
7,G04,"(18925, 43)","(725, 43)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",shank,acc,stat,K-NearestNeighbors_DynamicTimeWrapping,0:01:41.023371,0.31448275862068964,0.2742416518984364,0.4922696997920638,0.31448275862068964,"[[153  53]
 [444  75]]","{'0.0': {'precision': 0.2562814070351759, 'recall': 0.7427184466019418, 'f1-score': 0.38107098381070986, 'support': 206}, '1.0': {'precision': 0.5859375, 'recall': 0.14450867052023122, 'f1-score': 0.23183925811437406, 'support': 519}, 'accuracy': 0.31448275862068964, 'macro avg': {'precision': 0.42110945351758794, 'recall': 0.4436135585610865, 'f1-score': 0.30645512096254196, 'support': 725}, 'weighted avg': {'precision': 0.4922696997920638, 'recall': 0.31448275862068964, 'f1-score': 0.2742416518984364, 'support': 725}}",
8,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,LSTM,0:05:29.359345,1.0,1.0,1.0,1.0,"[[462   0]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 462}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 462}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 462}}",0.0059063294902443894
10,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,SupportVectorsMachine,0:01:11.820863,0.7720430107526882,0.8713592233009709,1.0,0.7720430107526882,"[[359 106]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.7720430107526882, 'f1-score': 0.8713592233009709, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.7720430107526882, 'macro avg': {'precision': 0.5, 'recall': 0.3860215053763441, 'f1-score': 0.43567961165048547, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.7720430107526882, 'f1-score': 0.8713592233009709, 'support': 465}}",
11,G05,"(19185, 43)","(465, 43)","{0.0: 13430, 1.0: 5755}",{0.0: 465},shank,acc,stat,RandomForest,0:00:32.764427,0.9849462365591398,0.992416034669556,1.0,0.9849462365591398,"[[458   7]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9849462365591398, 'f1-score': 0.9924160346695559, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9849462365591398, 'macro avg': {'precision': 0.5, 'recall': 0.4924731182795699, 'f1-score': 0.49620801733477793, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.9849462365591398, 'f1-score': 0.9924160346695559, 'support': 465}}",
