test_patient,train_shape,test_shape,train_lable_count,test_label_count,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
G04,"(18925, 25)","(725, 25)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",0.2285318523645401,0.2262982875108719,0.2285318523645401,0.2285318523645401,"[[108  95]
 [462  57]]","{'0': {'precision': 0.18947368421052632, 'recall': 0.5320197044334976, 'f1-score': 0.2794307891332471, 'support': 203}, '1': {'precision': 0.375, 'recall': 0.10982658959537572, 'f1-score': 0.16989567809239942, 'support': 519}, 'accuracy': 0.22853185595567868, 'macro avg': {'precision': 0.2822368421052632, 'recall': 0.32092314701443664, 'f1-score': 0.22466323361282325, 'support': 722}, 'weighted avg': {'precision': 0.3228367837877242, 'recall': 0.22853185595567868, 'f1-score': 0.20069294615513084, 'support': 722}}",2.2588531970977783
G05,"(19185, 25)","(465, 25)","{0.0: 13430, 1.0: 5755}",{0.0: 465},0.9783549904823303,0.9791666865348816,0.9783549904823303,0.9783549904823303,"[[452  10]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9783549783549783, 'f1-score': 0.9890590809628008, 'support': 462}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9783549783549783, 'macro avg': {'precision': 0.5, 'recall': 0.48917748917748916, 'f1-score': 0.4945295404814004, 'support': 462}, 'weighted avg': {'precision': 1.0, 'recall': 0.9783549783549783, 'f1-score': 0.9890590809628008, 'support': 462}}",0.06772687286138535
G06,"(19193, 25)","(457, 25)","{0.0: 13590, 1.0: 5603}","{0.0: 305, 1.0: 152}",0.8392070531845093,0.8479166626930237,0.8392070531845093,0.8392070531845093,"[[301   1]
 [ 72  80]]","{'0': {'precision': 0.806970509383378, 'recall': 0.9966887417218543, 'f1-score': 0.8918518518518518, 'support': 302}, '1': {'precision': 0.9876543209876543, 'recall': 0.5263157894736842, 'f1-score': 0.6866952789699571, 'support': 152}, 'accuracy': 0.8392070484581498, 'macro avg': {'precision': 0.8973124151855161, 'recall': 0.7615022655977692, 'f1-score': 0.7892735654109044, 'support': 454}, 'weighted avg': {'precision': 0.8674637678940608, 'recall': 0.8392070484581498, 'f1-score': 0.8231650697416139, 'support': 454}}",0.5659583806991577
G07,"(18855, 25)","(795, 25)","{0.0: 13762, 1.0: 5093}","{1.0: 662, 0.0: 133}",0.21338383853435516,0.2212499976158142,0.21338383853435516,0.21338383853435516,"[[126   4]
 [619  43]]","{'0': {'precision': 0.1691275167785235, 'recall': 0.9692307692307692, 'f1-score': 0.28800000000000003, 'support': 130}, '1': {'precision': 0.9148936170212766, 'recall': 0.0649546827794562, 'f1-score': 0.12129760225669958, 'support': 662}, 'accuracy': 0.21338383838383837, 'macro avg': {'precision': 0.5420105668999, 'recall': 0.5170927260051127, 'f1-score': 0.20464880112834982, 'support': 792}, 'weighted avg': {'precision': 0.7924825147087036, 'recall': 0.21338383838383837, 'f1-score': 0.14866036956304943, 'support': 792}}",0.8120038509368896
G08,"(16730, 25)","(2920, 25)","{0.0: 13673, 1.0: 3057}","{1.0: 2698, 0.0: 222}",0.1079876571893692,0.1088315099477768,0.1079876571893692,0.1079876571893692,"[[ 210    9]
 [2593  105]]","{'0': {'precision': 0.07491972886193364, 'recall': 0.958904109589041, 'f1-score': 0.13898080741230973, 'support': 219}, '1': {'precision': 0.9210526315789473, 'recall': 0.038917716827279465, 'f1-score': 0.07467994310099574, 'support': 2698}, 'accuracy': 0.10798765855330819, 'macro avg': {'precision': 0.4979861802204405, 'recall': 0.4989109132081603, 'f1-score': 0.10683037525665273, 'support': 2917}, 'weighted avg': {'precision': 0.8575273982244647, 'recall': 0.10798765855330819, 'f1-score': 0.07950746770990139, 'support': 2917}}",2.6225006580352783
G09,"(19058, 25)","(592, 25)","{0.0: 13303, 1.0: 5755}",{0.0: 592},0.9915110468864441,0.9917762875556946,0.9915110468864441,0.9915110468864441,"[[584   5]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9915110356536503, 'f1-score': 0.9957374254049446, 'support': 589}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9915110356536503, 'macro avg': {'precision': 0.5, 'recall': 0.49575551782682514, 'f1-score': 0.4978687127024723, 'support': 589}, 'weighted avg': {'precision': 1.0, 'recall': 0.9915110356536503, 'f1-score': 0.9957374254049445, 'support': 589}}",0.04189185053110123
G11,"(19274, 25)","(376, 25)","{0.0: 13590, 1.0: 5684}","{0.0: 305, 1.0: 71}",0.9651474356651306,0.9634177088737488,0.9651474356651306,0.9651474356651306,"[[290  12]
 [  1  70]]","{'0': {'precision': 0.9965635738831615, 'recall': 0.9602649006622517, 'f1-score': 0.9780775716694772, 'support': 302}, '1': {'precision': 0.8536585365853658, 'recall': 0.9859154929577465, 'f1-score': 0.9150326797385622, 'support': 71}, 'accuracy': 0.9651474530831099, 'macro avg': {'precision': 0.9251110552342636, 'recall': 0.9730901968099991, 'f1-score': 0.9465551257040197, 'support': 373}, 'weighted avg': {'precision': 0.9693618107514096, 'recall': 0.9651474530831099, 'f1-score': 0.9660770694520644, 'support': 373}}",0.11740574240684509
P231,"(18900, 25)","(750, 25)","{0.0: 13145, 1.0: 5755}",{0.0: 750},1.0,1.0,1.0,1.0,"[[747   0]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 747}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 747}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 747}}",0.009165570139884949
P351,"(16859, 25)","(2791, 25)","{0.0: 11104, 1.0: 5755}",{0.0: 2791},0.9655666947364807,0.9659090638160706,0.9655666947364807,0.9655666947364807,"[[2692   96]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9655667144906743, 'f1-score': 0.9824817518248176, 'support': 2788}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9655667144906743, 'macro avg': {'precision': 0.5, 'recall': 0.48278335724533716, 'f1-score': 0.4912408759124088, 'support': 2788}, 'weighted avg': {'precision': 1.0, 'recall': 0.9655667144906743, 'f1-score': 0.9824817518248176, 'support': 2788}}",0.07902773469686508
P379,"(18612, 25)","(1038, 25)","{0.0: 13180, 1.0: 5432}","{0.0: 715, 1.0: 323}",0.8908212780952454,0.8929924368858337,0.8908212780952454,0.8908212780952454,"[[696  16]
 [ 97 226]]","{'0': {'precision': 0.8776796973518285, 'recall': 0.9775280898876404, 'f1-score': 0.9249169435215947, 'support': 712}, '1': {'precision': 0.9338842975206612, 'recall': 0.6996904024767802, 'f1-score': 0.8, 'support': 323}, 'accuracy': 0.8908212560386474, 'macro avg': {'precision': 0.9057819974362449, 'recall': 0.8386092461822103, 'f1-score': 0.8624584717607974, 'support': 1035}, 'weighted avg': {'precision': 0.8952198769214256, 'recall': 0.8908212560386474, 'f1-score': 0.8859332017269329, 'support': 1035}}",0.7130709886550903
