,test_patient,train_shape,test_shape,train_lable_count,test_label_count,sensor_pos,sensor_type,features,model_name,started_at,ended_at,duration,accuracy,f1_score,auc_score,conf_matrix,clf_report
0,G04,"(18925, 55)","(725, 55)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",SupportVectorsMachine,2020-07-23 20:55:12.784732,2020-07-23 20:56:48.883022,0:01:36.098290,0.35724137931034483,0.455607476635514,0.3432010775015433,"[[ 64 142]
 [324 195]]","{'0.0': {'precision': 0.16494845360824742, 'recall': 0.3106796116504854, 'f1-score': 0.21548821548821548, 'support': 206}, '1.0': {'precision': 0.5786350148367952, 'recall': 0.37572254335260113, 'f1-score': 0.455607476635514, 'support': 519}, 'accuracy': 0.35724137931034483, 'macro avg': {'precision': 0.3717917342225213, 'recall': 0.3432010775015433, 'f1-score': 0.3355478460618647, 'support': 725}, 'weighted avg': {'precision': 0.4610909712325458, 'recall': 0.35724137931034483, 'f1-score': 0.3873804865715919, 'support': 725}}"
1,G04,"(18925, 55)","(725, 55)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",RandomForest,2020-07-23 20:56:48.883119,2020-07-23 20:57:22.908284,0:00:34.025165,0.2910344827586207,0.019083969465648852,0.5048169556840078,"[[206   0]
 [514   5]]","{'0.0': {'precision': 0.2861111111111111, 'recall': 1.0, 'f1-score': 0.4449244060475162, 'support': 206}, '1.0': {'precision': 1.0, 'recall': 0.009633911368015413, 'f1-score': 0.019083969465648852, 'support': 519}, 'accuracy': 0.2910344827586207, 'macro avg': {'precision': 0.6430555555555555, 'recall': 0.5048169556840078, 'f1-score': 0.23200418775658252, 'support': 725}, 'weighted avg': {'precision': 0.7971570881226053, 'recall': 0.2910344827586207, 'f1-score': 0.14008139006684153, 'support': 725}}"
2,G04,"(18925, 55)","(725, 55)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",GaussianNaiveBayes,2020-07-23 20:57:22.908361,2020-07-23 20:57:22.948455,0:00:00.040094,0.7034482758620689,0.7946513849092646,0.6289260527152665,"[[ 94 112]
 [103 416]]","{'0.0': {'precision': 0.47715736040609136, 'recall': 0.4563106796116505, 'f1-score': 0.4665012406947891, 'support': 206}, '1.0': {'precision': 0.7878787878787878, 'recall': 0.8015414258188824, 'f1-score': 0.7946513849092646, 'support': 519}, 'accuracy': 0.7034482758620689, 'macro avg': {'precision': 0.6325180741424397, 'recall': 0.6289260527152665, 'f1-score': 0.6305763128020269, 'support': 725}, 'weighted avg': {'precision': 0.6995910443486147, 'recall': 0.7034482758620689, 'f1-score': 0.7014114818634963, 'support': 725}}"
3,G04,"(18925, 55)","(725, 55)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",K-NearestNeighbors,2020-07-23 20:57:22.948529,2020-07-23 20:57:23.453468,0:00:00.504939,0.3737931034482759,0.3343108504398827,0.49089455076042426,"[[157  49]
 [405 114]]","{'0.0': {'precision': 0.2793594306049822, 'recall': 0.7621359223300971, 'f1-score': 0.4088541666666667, 'support': 206}, '1.0': {'precision': 0.6993865030674846, 'recall': 0.21965317919075145, 'f1-score': 0.3343108504398827, 'support': 519}, 'accuracy': 0.3737931034482759, 'macro avg': {'precision': 0.48937296683623344, 'recall': 0.49089455076042426, 'f1-score': 0.3715825085532747, 'support': 725}, 'weighted avg': {'precision': 0.5800408797195183, 'recall': 0.3737931034482759, 'f1-score': 0.3554914340850103, 'support': 725}}"
4,G04,"(18925, 55)","(725, 55)","{0.0: 13689, 1.0: 5236}","{1.0: 519, 0.0: 206}",feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",K-NearestNeighbors_DynamicTimeWrapping,2020-07-23 20:57:23.453545,2020-07-23 20:59:52.503571,0:02:29.050026,0.32,0.25416036308623297,0.44014815646220323,"[[148  58]
 [435  84]]","{'0.0': {'precision': 0.2538593481989708, 'recall': 0.7184466019417476, 'f1-score': 0.3751584283903675, 'support': 206}, '1.0': {'precision': 0.5915492957746479, 'recall': 0.16184971098265896, 'f1-score': 0.25416036308623297, 'support': 519}, 'accuracy': 0.32, 'macro avg': {'precision': 0.42270432198680935, 'recall': 0.4401481564622033, 'f1-score': 0.31465939573830026, 'support': 725}, 'weighted avg': {'precision': 0.49559877273935204, 'recall': 0.32, 'f1-score': 0.288540503020925, 'support': 725}}"
5,G05,"(19185, 55)","(465, 55)","{0.0: 13430, 1.0: 5755}",{0.0: 465},feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",SupportVectorsMachine,2020-07-23 20:59:55.053286,2020-07-23 21:01:42.995856,0:01:47.942570,0.7419354838709677,0.0,0,"[[345 120]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.7419354838709677, 'f1-score': 0.8518518518518519, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.7419354838709677, 'macro avg': {'precision': 0.5, 'recall': 0.3709677419354839, 'f1-score': 0.42592592592592593, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.7419354838709677, 'f1-score': 0.851851851851852, 'support': 465}}"
6,G05,"(19185, 55)","(465, 55)","{0.0: 13430, 1.0: 5755}",{0.0: 465},feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",RandomForest,2020-07-23 21:01:42.995943,2020-07-23 21:02:18.357364,0:00:35.361421,0.9870967741935484,0.0,0,"[[459   6]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9870967741935484, 'f1-score': 0.9935064935064934, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9870967741935484, 'macro avg': {'precision': 0.5, 'recall': 0.4935483870967742, 'f1-score': 0.4967532467532467, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.9870967741935484, 'f1-score': 0.9935064935064934, 'support': 465}}"
7,G05,"(19185, 55)","(465, 55)","{0.0: 13430, 1.0: 5755}",{0.0: 465},feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",GaussianNaiveBayes,2020-07-23 21:02:18.357445,2020-07-23 21:02:18.395171,0:00:00.037726,0.5763440860215053,0.0,0,"[[268 197]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.5763440860215053, 'f1-score': 0.7312414733969986, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.5763440860215053, 'macro avg': {'precision': 0.5, 'recall': 0.28817204301075267, 'f1-score': 0.3656207366984993, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.5763440860215053, 'f1-score': 0.7312414733969986, 'support': 465}}"
8,G05,"(19185, 55)","(465, 55)","{0.0: 13430, 1.0: 5755}",{0.0: 465},feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",K-NearestNeighbors,2020-07-23 21:02:18.395248,2020-07-23 21:02:18.706407,0:00:00.311159,0.9032258064516129,0.0,0,"[[420  45]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.9032258064516129, 'f1-score': 0.9491525423728813, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9032258064516129, 'macro avg': {'precision': 0.5, 'recall': 0.45161290322580644, 'f1-score': 0.47457627118644063, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.9032258064516129, 'f1-score': 0.9491525423728813, 'support': 465}}"
9,G05,"(19185, 55)","(465, 55)","{0.0: 13430, 1.0: 5755}",{0.0: 465},feet,acc,"['avg', 'std', 'max', 'min', 'var', 'fi', 'pi', 'fp', 'lp']",K-NearestNeighbors_DynamicTimeWrapping,2020-07-23 21:02:18.706484,2020-07-23 21:03:39.963083,0:01:21.256599,0.8580645161290322,0.0,0,"[[399  66]
 [  0   0]]","{'0.0': {'precision': 1.0, 'recall': 0.8580645161290322, 'f1-score': 0.9236111111111112, 'support': 465}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.8580645161290322, 'macro avg': {'precision': 0.5, 'recall': 0.4290322580645161, 'f1-score': 0.4618055555555556, 'support': 465}, 'weighted avg': {'precision': 1.0, 'recall': 0.8580645161290322, 'f1-score': 0.9236111111111112, 'support': 465}}"
